book_code,book_title,book_author,book_publisher,book_borrow,book_lang,book_type,book_year
348,전문 사진가 68명의 실전 촬영법,미즈노 카츠히코 외 67인,이지스퍼블리싱,0,kor,book,2023
349,바쁜 1_2학년을 위한 빠른 연산법 - 덧셈편,스쿨피아 연구소 최순미,이지스에듀,0,kor,book,2022
350,바쁜 5_6학년을 위한 빠른 영문법 - 기초 영문법2,이정선(E&E 영어 연구소),이지스에듀,0,kor,book,2019
351,바쁜 5_6학년을 위한 빠른 영문법 - 기초 영문법 1,이정선(E&E 영어 연구소),이지스에듀,0,kor,book,2018
352,바쁜 1_2학년을 위한 빠른 연산법 - 뺄셈편,스쿨피아 연구소 최순미,이지스에듀,0,kor,book,2016
353,바쁜 3_4학년을 위한 빠른 연산법 - 덧셈편,스쿨피아 연구소 최순미,이지스에듀,0,kor,book,2023
354,바쁜 3_4학년을 위한 빠른 연산법 - 뺄셈편,스쿨피아 연구소 최순미,이지스에듀,0,kor,book,2022
355,바쁜 3_4학년을 위한 빠른 연산법 - 곱셈편,스쿨피아 연구소 최순미,이지스에듀,0,kor,book,2010
356,바쁜 3_4학년을 위한 빠른 연산법 - 나눗셈편,스쿨피아 연구소 최순미,이지스에듀,0,kor,book,2011
357,Do it! AutoCAD 오토캐드 2015,김혜영_ 박한울,이지스퍼블리싱,0,kor,book,2012
358,삼성 NX 스마트 카메라 미러리스로 찍는 사진의 마법,변현우,이지스퍼블리싱,0,kor,book,2013
359,바쁜 5_6학년을 위한 빠른 연산법-곱셈편,스쿨피아 연구소(강난영_ 최순미),이지스에듀,0,kor,book,2014
360,바쁜 5_6학년을 위한 빠른 연산법 - 나눗셈편,스쿨피아 연구소(강난영_ 최순미),이지스에듀,0,kor,book,2015
361,바쁜 5_6학년을 위한 빠른 연산법 - 분수편,스쿨피아 연구소,이지스에듀,0,kor,book,2017
362,바쁜 5_6학년을 위한 빠른 연산법-소수편,스쿨피아 연구소,이지스에듀,0,kor,book,2010
363,프로페셔널 사진의 조건_ 라이트룸5,백종수(주산지),이지스퍼블리싱,0,kor,book,2011
364,우리집은 영어 창의력 놀이터,이수정,이지스에듀,0,kor,book,2018
365,프로페셔널 사진의 조건! 스트로보_ 외장플래시,도영찬,이지스퍼블리싱,0,kor,book,2019
366,빅데이터_ 승리의 과학,고한석,이지스퍼블리싱,0,kor,ebook,2023
367,우리집은 수학 창의력 놀이터,이미경,이지스에듀,0,kor,book,2022
368,미러리스 & 하이브리드 카메라 입문,박기덕,이지스퍼블리싱,0,kor,book,2019
369,기적의 모험놀이,방승호,이지스에듀,0,kor,book,2018
370,니콘 DSLR 카메라 입문,박기덕,이지스퍼블리싱,0,kor,book,2016
371,우리집은 한자 어휘력 놀이터,김정미 ? 강민,이지스에듀,0,kor,book,2010
372,파나소닉 루믹스 G로 찍는 사진의 마법 [개정판],변현우_ 배호종,이지스퍼블리싱,0,kor,book,2011
373,우리집은 과학 창의력 놀이터,김병주,이지스에듀,0,kor,book,2018
374,우리집은 창의력 놀이터,이고은(LGS 영재연구소),이지스에듀,0,kor,book,2019
